epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.99884,0.71706,1.72173,1.17583,0.84404,0.47273,0.71932,0.54967,0.73382,2.35164,1.24069,0.000647619,0.000647619,0.000647619
2,8.52986,0.71678,1.16658,1.15639,0.51568,0.60012,0.58908,0.32504,1.17673,2.31536,1.73196,0.00128826,0.00128826,0.00128826
3,11.9705,0.7733,1.04434,1.16314,0.60971,0.55,0.58805,0.33308,1.43604,2.0969,2.16381,0.00190251,0.00190251,0.00190251
4,15.3992,0.79044,0.93093,1.17281,0.52543,0.44091,0.4457,0.2058,1.63935,2.2884,2.04098,0.0018812,0.0018812,0.0018812
5,18.7982,0.78355,0.90068,1.17102,0.76035,0.70909,0.79978,0.58613,0.90489,1.36362,1.4221,0.0018416,0.0018416,0.0018416
6,22.2439,0.7521,0.85005,1.15683,0.76964,0.75,0.80994,0.6007,0.91141,1.17387,1.35563,0.001802,0.001802,0.001802
7,25.7669,0.71443,0.7756,1.1297,0.39373,0.4546,0.37087,0.21169,1.57557,2.22838,2.07661,0.0017624,0.0017624,0.0017624
8,29.1681,0.73045,0.7492,1.14863,0.69244,0.74545,0.76731,0.5134,1.06869,1.19795,1.45208,0.0017228,0.0017228,0.0017228
9,32.5125,0.66887,0.68315,1.09153,0.86963,0.87928,0.92004,0.75908,0.66237,0.74526,1.1489,0.0016832,0.0016832,0.0016832
10,35.8904,0.6646,0.64862,1.11851,0.83251,0.88636,0.93369,0.79101,0.58488,0.74303,1.08521,0.0016436,0.0016436,0.0016436
11,39.2624,0.64317,0.61411,1.09644,0.88692,0.85561,0.93393,0.76142,0.61991,0.71946,1.07431,0.001604,0.001604,0.001604
12,42.6232,0.61197,0.59929,1.06473,0.87792,0.85455,0.93389,0.80191,0.57821,0.80546,1.08502,0.0015644,0.0015644,0.0015644
13,46.001,0.59679,0.5733,1.06367,0.90427,0.85874,0.91154,0.75728,0.6477,0.80253,1.14138,0.0015248,0.0015248,0.0015248
14,49.3594,0.60408,0.55969,1.06328,0.83329,0.66818,0.72749,0.45088,1.25576,1.25878,1.86822,0.0014852,0.0014852,0.0014852
15,52.7343,0.59654,0.53442,1.05929,0.95013,0.94091,0.96874,0.84365,0.50934,0.49557,1.03036,0.0014456,0.0014456,0.0014456
16,56.0887,0.57694,0.54151,1.05351,0.91473,0.92642,0.96044,0.83325,0.55426,0.53534,1.03855,0.001406,0.001406,0.001406
17,59.4286,0.54695,0.50587,1.03842,0.96178,0.89091,0.97379,0.86925,0.50913,0.50308,1.00486,0.0013664,0.0013664,0.0013664
18,62.6378,0.53779,0.50307,1.02893,0.91689,0.85252,0.93714,0.80423,0.57496,0.63368,1.06531,0.0013268,0.0013268,0.0013268
19,65.8677,0.55409,0.49778,1.04838,0.95303,0.89091,0.97276,0.85348,0.48337,0.49607,1.0005,0.0012872,0.0012872,0.0012872
20,69.1627,0.51674,0.46036,1.01979,0.90565,0.91364,0.94975,0.84738,0.48399,0.52073,1.00321,0.0012476,0.0012476,0.0012476
21,72.3733,0.53292,0.47861,1.03792,0.92761,0.91818,0.95446,0.85009,0.48605,0.51735,0.98016,0.001208,0.001208,0.001208
22,75.6167,0.52092,0.46809,1.02494,0.92347,0.93245,0.97683,0.87133,0.46719,0.44038,0.98579,0.0011684,0.0011684,0.0011684
23,78.8615,0.52683,0.45631,1.02011,0.96113,0.89913,0.97586,0.86579,0.50525,0.52316,1.01282,0.0011288,0.0011288,0.0011288
24,82.1142,0.5087,0.44946,1.01517,0.97852,0.92273,0.97555,0.88596,0.44211,0.38086,0.97698,0.0010892,0.0010892,0.0010892
25,85.2927,0.49416,0.42814,1.01253,0.93302,0.94545,0.97459,0.89811,0.41071,0.4391,0.93262,0.0010496,0.0010496,0.0010496
26,88.5282,0.49669,0.43225,1.00116,0.94218,0.96298,0.9813,0.90103,0.41531,0.3889,0.95213,0.00101,0.00101,0.00101
27,91.7609,0.48609,0.42676,1.01145,0.94812,0.93636,0.97494,0.88416,0.43547,0.48016,0.96329,0.0009704,0.0009704,0.0009704
28,94.9801,0.48793,0.43452,1.00688,0.96287,0.94309,0.98743,0.90278,0.4287,0.38486,0.95806,0.0009308,0.0009308,0.0009308
29,98.2444,0.46136,0.40759,1.00001,0.96347,0.95,0.97625,0.89904,0.43001,0.39338,0.95595,0.0008912,0.0008912,0.0008912
30,101.482,0.44332,0.39335,0.98465,0.94908,0.94091,0.97682,0.90506,0.38647,0.41052,0.92114,0.0008516,0.0008516,0.0008516
31,104.723,0.45391,0.39926,0.97932,0.96778,0.95573,0.98415,0.91808,0.3708,0.35344,0.90196,0.000812,0.000812,0.000812
32,107.961,0.44921,0.39278,0.99413,0.96726,0.94018,0.98847,0.92724,0.37478,0.35146,0.90069,0.0007724,0.0007724,0.0007724
33,111.208,0.44004,0.38238,0.97741,0.99056,0.95429,0.99139,0.92122,0.38855,0.35063,0.93367,0.0007328,0.0007328,0.0007328
34,114.545,0.43416,0.37501,0.97433,0.97929,0.95,0.98827,0.93887,0.33662,0.32347,0.88489,0.0006932,0.0006932,0.0006932
35,117.789,0.4311,0.37238,0.9775,0.96391,0.97125,0.98885,0.92693,0.36789,0.32963,0.90077,0.0006536,0.0006536,0.0006536
36,121.035,0.43646,0.37215,0.98708,0.96783,0.95711,0.98514,0.92375,0.36598,0.33932,0.90374,0.000614,0.000614,0.000614
37,124.241,0.41056,0.36436,0.96759,0.97026,0.98636,0.99242,0.93372,0.36323,0.31707,0.90283,0.0005744,0.0005744,0.0005744
38,127.455,0.42633,0.36679,0.97381,0.97142,0.927,0.98815,0.93015,0.3577,0.35211,0.89858,0.0005348,0.0005348,0.0005348
39,130.704,0.43412,0.36984,0.99219,0.94629,0.96093,0.98811,0.92376,0.35971,0.34695,0.89131,0.0004952,0.0004952,0.0004952
40,133.936,0.38876,0.35256,0.95362,0.96807,0.98182,0.99082,0.94586,0.32758,0.29276,0.88237,0.0004556,0.0004556,0.0004556
41,154.769,0.30519,0.29717,0.90142,0.98597,0.95814,0.99239,0.94215,0.33131,0.30264,0.88557,0.000416,0.000416,0.000416
42,158.063,0.30915,0.28838,0.88491,0.99661,0.96818,0.99407,0.94329,0.33126,0.28287,0.88609,0.0003764,0.0003764,0.0003764
43,161.299,0.29654,0.28942,0.8856,0.97022,0.95909,0.98988,0.93848,0.33408,0.29978,0.88742,0.0003368,0.0003368,0.0003368
44,164.521,0.28252,0.26089,0.88721,0.99067,0.96477,0.99328,0.94966,0.30939,0.26675,0.86262,0.0002972,0.0002972,0.0002972
45,167.762,0.27746,0.24689,0.87918,0.99235,0.95909,0.99346,0.94999,0.29946,0.26141,0.86079,0.0002576,0.0002576,0.0002576
46,171.009,0.27489,0.24725,0.88894,0.97881,0.98182,0.99423,0.95283,0.29883,0.24487,0.87015,0.000218,0.000218,0.000218
47,174.339,0.26305,0.238,0.86347,0.99069,0.96771,0.99193,0.94946,0.31054,0.27256,0.87316,0.0001784,0.0001784,0.0001784
48,177.564,0.25327,0.22703,0.86347,0.98154,0.96692,0.99116,0.95282,0.29855,0.26407,0.87576,0.0001388,0.0001388,0.0001388
49,180.771,0.24634,0.23593,0.86483,0.98624,0.97709,0.99418,0.95692,0.28641,0.25151,0.86348,9.92e-05,9.92e-05,9.92e-05
